date,open,high,low,close,volume
1445917620000,1903.15,1903.45,1901.2,1901.21,415.12
1445917680000,1901.43,1901.5,1898.66,1899.87,848.87
1445917740000,1899.7,1901.59,1899.0,1900.92,711.943
1445917800000,1900.95,1901.57,1898.33,1898.74,337.205
1445917860000,1898.68,1898.81,1896.37,1896.87,316.684
1445917920000,1896.75,1898.44,1894.0,1894.43,909.018
1445917980000,1894.43,1896.84,1893.41,1895.45,938.03
1445918040000,1896.06,1896.99,1894.01,1896.09,899.464
1445918100000,1896.21,1897.1,1895.71,1895.8,461.836
1445918160000,1895.8,1895.8,1890.0,1891.0,1539.156
1445918220000,1891.0,1894.51,1886.23,1887.01,1948.64
1445918280000,1887.01,1887.93,1881.0,1883.65,3086.449
1445918340000,1883.65,1887.94,1881.86,1887.07,1676.355
1445918400000,1887.53,1888.5,1885.01,1885.14,883.637
1445918460000,1885.14,1886.55,1885.0,1885.75,471.671
1445918520000,1885.96,1889.23,1885.52,1889.09,596.704
1445918580000,1889.09,1889.8,1887.26,1887.26,495.607
1445918640000,1887.65,1887.84,1885.5,1886.9,679.458
1445918700000,1886.9,1886.92,1885.0,1886.38,666.008
1445918760000,1886.38,1888.0,1886.0,1887.96,475.426
1445918820000,1887.96,1888.0,1885.67,1885.91,361.359
1445918880000,1885.8,1886.89,1885.0,1886.65,383.594
1445918940000,1886.65,1887.94,1885.59,1886.03,515.153
1445919000000,1886.03,1886.07,1884.5,1884.54,971.562
1445919060000,1884.51,1884.7,1878.8,1879.72,1294.215
1445919120000,1879.72,1879.96,1876.0,1877.88,1703.79
1445919180000,1877.87,1880.55,1877.75,1879.23,995.368
1445919240000,1879.3,1882.6,1879.3,1882.58,741.904
1445919300000,1882.45,1883.25,1880.79,1882.01,835.751
1445919360000,1882.01,1883.59,1882.01,1882.69,747.39
1445919420000,1882.99,1883.0,1878.3,1878.99,1253.906
1445919480000,1878.99,1879.0,1871.0,1872.44,3419.197
1445919540000,1872.12,1872.57,1866.8,1868.77,2600.934
1445919600000,1868.61,1873.99,1868.0,1872.0,1739.219
1445919660000,1872.0,1874.8,1871.1,1874.51,1525.317
1445919720000,1874.51,1876.59,1873.87,1876.44,964.901
1445919780000,1876.43,1876.43,1874.27,1875.05,1160.428
1445919840000,1874.89,1877.58,1874.28,1876.7,1036.488
1445919900000,1876.7,1877.33,1875.31,1875.87,626.804
1445919960000,1875.87,1876.8,1874.02,1876.76,725.286
1445920020000,1876.76,1878.45,1876.36,1877.0,844.418
1445920080000,1877.0,1877.24,1875.11,1876.6,367.481
1445920140000,1876.59,1877.3,1875.94,1876.53,319.978
1445920200000,1876.26,1878.48,1876.2,1877.78,490.186
1445920260000,1877.96,1879.0,1877.0,1877.56,746.609
1445920320000,1877.53,1877.99,1876.93,1877.73,354.865
1445920380000,1877.52,1878.94,1877.52,1878.04,244.495
1445920440000,1878.04,1878.42,1877.47,1877.98,195.123
1445920500000,1877.86,1877.97,1876.89,1877.16,506.662
1445920560000,1877.16,1878.14,1876.89,1877.42,288.959
1445920620000,1877.42,1877.42,1875.99,1877.22,205.119
1445920680000,1877.15,1877.32,1876.27,1876.87,173.54
1445920740000,1876.76,1877.83,1876.23,1877.57,470.628
1445920800000,1877.45,1879.32,1877.39,1879.3,398.085
1445920860000,1879.3,1879.73,1879.01,1879.5,305.096
1445920920000,1879.3,1879.9,1878.16,1879.51,629.253
1445920980000,1879.49,1880.61,1879.32,1879.88,293.101
1445921040000,1880.02,1881.0,1879.89,1880.55,401.451
1445921100000,1880.55,1880.86,1880.36,1880.49,217.741
1445921160000,1880.49,1880.69,1879.6,1879.84,318.61
1445921280000,1878.0,1879.3,1877.37,1878.47,368.459
